Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn
14304,-39.4134063720703,-38.9252624511719,-10.8192253112793,-11.366322517395,-12.6350011825562,-13.5767765045166,82848,-19.4223365783691
14496,-39.5350227355957,-38.9939575195313,-9.52849006652832,-12.188627243042,-11.6629648208618,-13.360161781311,83232,-18.8409996032715
14688,-39.7717475891113,-39.1531562805176,-10.222996711731,-12.9601783752441,-11.3678312301636,-13.5285558700562,83712,-17.5541839599609
14784,-39.7788276672363,-39.0232048034668,-9.99579524993897,-12.9486265182495,-11.5763969421387,-13.5453195571899,85152,-16.8386363983154
14880,-39.7511444091797,-38.8893432617188,-10.015043258667,-13.2553634643555,-11.44455909729,-13.5049686431885,86208,-16.2436580657959
14976,-39.760929107666,-38.8487396240234,-9.94493198394775,-13.2076101303101,-10.6969766616821,-13.5060014724731,86592,-15.4406280517578
15072,-39.8679046630859,-38.4761466979981,-9.82372283935547,-13.3465394973755,-10.4877367019653,-13.3645639419556,87264,-15.0854616165161
15168,-39.7250099182129,-38.3567123413086,-11.0174493789673,-13.40940284729,-10.5560131072998,-12.223952293396,89376,-14.6482515335083
15264,-39.8175048828125,-38.0981063842773,-10.9613885879517,-13.3288440704346,-10.4357213973999,-12.2053461074829,89568,-14.2486209869385
15360,-39.7485084533691,-38.209644317627,-10.471022605896,-13.1271800994873,-10.0837631225586,-12.4360103607178,90528,-13.8475818634033
15456,-39.508674621582,-38.3940925598145,-10.4927921295166,-13.1098327636719,-10.01291847229,-12.2455892562866,91200,-14.3971891403198
15552,-39.7482414245606,-38.2149314880371,-10.7879066467285,-13.1038093566895,-10.0247278213501,-12.4571485519409,92544,-13.6461658477783
15648,-39.744873046875,-38.5031051635742,-10.7610740661621,-12.7653303146362,-10.0664014816284,-12.4085674285889,94080,-12.1845264434814
15744,-39.8489952087402,-38.6047782897949,-10.5447216033936,-11.9306898117065,-10.1098985671997,-12.0806932449341,94368,-11.7680511474609
15840,-39.7355422973633,-38.5218887329102,-10.8464641571045,-11.3274974822998,-9.92902565002441,-10.012336730957,95520,-11.5771331787109
15936,-39.7884140014648,-38.2183265686035,-10.8152732849121,-11.3625173568726,-9.97635459899902,-10.5224170684814,96000,-11.3902053833008
16032,-39.8144035339356,-38.2139129638672,-10.847713470459,-11.1846351623535,-10.0095720291138,-9.80023384094238,96288,-11.1446266174316
16128,-39.9726219177246,-38.5035591125488,-10.819787979126,-11.0574674606323,-10.1083707809448,-9.88961982727051,96480,-10.8886957168579
16224,-40.0354881286621,-38.5938339233398,-10.8011636734009,-11.0460557937622,-10.0255012512207,-9.91386032104492,97536,-10.5250272750855
16320,-39.9919891357422,-38.7016448974609,-10.8339700698853,-10.6716575622559,-9.90245628356934,-10.0216684341431,98208,-10.0365896224976
16416,-40.0377540588379,-38.8430709838867,-10.8710374832153,-10.3529005050659,-9.93401050567627,-9.63382625579834,98592,-9.68340969085693
16512,-40.0860328674316,-39.0606269836426,-11.0741996765137,-10.3821268081665,-9.82728481292725,-9.39729881286621,98784,-9.41225147247315
16608,-39.8705253601074,-39.2409515380859,-11.1252479553223,-10.3804483413696,-9.6649866104126,-9.49845409393311,99648,-9.19031047821045
16704,-39.8416442871094,-39.3552169799805,-11.221981048584,-10.3115844726563,-9.59508228302002,-9.55717182159424,101472,-8.66534519195557
16800,-39.6160011291504,-39.1272621154785,-11.1239624023438,-9.66406726837158,-9.49067497253418,-9.69758892059326,102816,-8.20609283447266
16896,-39.6241645812988,-39.1583061218262,-11.165864944458,-9.53353977203369,-9.43721294403076,-9.70048046112061,102912,-8.06691646575928
16992,-39.5576705932617,-39.2356910705566,-10.9321041107178,-8.79155349731445,-9.51718235015869,-9.55459117889404,103104,-7.84515523910523
17088,-39.3871955871582,-39.0495452880859,-10.1172790527344,-8.77758121490479,-9.568678855896,-9.38956069946289,103488,-7.65530490875244
17184,-39.2918739318848,-39.0136642456055,-10.1735363006592,-8.66633605957031,-9.47423458099365,-9.40092849731445,104352,-7.52199029922485
17280,-39.4585266113281,-39.3440856933594,-10.1530847549438,-8.46779537200928,-9.49125480651856,-9.40754699707031,105504,-8.03855419158936
17376,-39.4863662719727,-39.4451446533203,-10.0835514068604,-8.53990173339844,-9.53857421875,-9.36616134643555,105888,-8.36047458648682
17472,-39.3167457580566,-39.5214080810547,-10.1317462921143,-8.25460433959961,-9.45768547058106,-9.41395473480225,106080,-8.6129674911499
17568,-39.337459564209,-39.5569572448731,-8.96030616760254,-8.13522529602051,-9.48439025878906,-9.53032970428467,106368,-8.90858173370361
17664,-39.0723762512207,-39.6966590881348,-8.95159244537354,-8.08809471130371,-9.64075565338135,-9.67757415771484,106560,-9.01509380340576
17760,-39.1571807861328,-39.5207099914551,-8.95825386047363,-8.14693737030029,-9.39596080780029,-9.44145679473877,106752,-9.01106357574463
17856,-39.1385154724121,-39.3011436462402,-8.87641716003418,-8.11014366149902,-9.18874835968018,-9.47220516204834,107712,-8.65546226501465
17952,-39.2061653137207,-39.3219337463379,-8.48412418365479,-8.14742851257324,-9.20742511749268,-9.11378765106201,108096,-8.55674839019775
18144,-39.215274810791,-39.4572868347168,-8.47589015960693,-8.13239574432373,-8.91417407989502,-8.83367443084717,108768,-8.05457878112793
18240,-39.1144180297852,-39.5936584472656,-8.02064990997315,-7.89686012268066,-8.82926273345947,-8.86249446868897,108960,-8.25922679901123
18336,-39.1601524353027,-39.7477645874023,-8.4073429107666,-7.73078060150147,-8.57311820983887,-8.15635013580322,109440,-8.42013263702393
18432,-39.0088920593262,-39.6270256042481,-8.49673938751221,-7.81492328643799,-8.54389953613281,-8.17147064208984,110112,-8.86601257324219
18528,-38.8684387207031,-39.4750022888184,-8.56603050231934,-7.8721170425415,-8.27261829376221,-7.97737312316895,110592,-9.59048652648926
18624,-38.8161277770996,-39.1256370544434,-8.66520404815674,-7.82600593566895,-8.19625282287598,-7.8966064453125,110688,-9.64667987823486
18720,-38.8327369689941,-38.9794998168945,-8.93833923339844,-7.77845525741577,-8.22020149230957,-7.67111349105835,111840,-10.5901393890381
