Step,dqn_gnn_noas_ts_100k,dqn_gnn_noas_bounds_ts_100k,dqn_mlp_as_ts_100k,dqn_mlp_noas_nobounds_no_feat_extr_ts_100k,dqn_mlp_noas_nobounds_ts_100k,dqn_mlp_noas_ts_100k,Step_for_mn,dqn_mlp_as_ts_1mn,Steps,dqn_gnn_fe_plus_net_arch,dqn_gnn_single_policy,dqn_gnn_fe_load_profile_1,dqn_gnn_sp_load_1
11424,-40.2474822998047,-38.9017944335938,-22.1113700866699,-27.9159355163574,-35.6861419677734,-18.3029136657715,61824,-24.245906829834,34848,-12.3284454345703,-8.69681167602539,-17.2982158660889,-14.0612840652466
11520,-40.1735458374023,-38.7817802429199,-21.4506931304932,-27.0123653411865,-35.3656616210938,-17.9086265563965,61920,-24.6080379486084,34944,-12.3277435302734,-8.49169254302979,-16.8059558868408,-13.5461683273315
11616,-40.4338493347168,-38.7373237609863,-20.314172744751,-25.9834423065186,-34.6360092163086,-17.369441986084,62400,-24.4904880523682,35040,-12.2269020080566,-8.39367961883545,-16.6009902954102,-12.7710037231445
11712,-40.2542152404785,-38.6136131286621,-19.0485229492188,-25.3922939300537,-33.9154319763184,-16.8504543304443,63264,-25.2020435333252,35136,-11.9866437911987,-8.33423233032227,-15.9128770828247,-12.0890073776245
11808,-39.9947319030762,-38.4756851196289,-17.7101707458496,-25.6068782806397,-32.8164596557617,-16.0079097747803,63456,-25.5523738861084,35232,-11.6436948776245,-8.48587703704834,-15.552225112915,-11.5359477996826
11904,-40.0251502990723,-38.4887161254883,-18.1241779327393,-25.004301071167,-31.6081695556641,-15.5489301681519,64128,-25.3829383850098,35328,-11.7258157730103,-8.55415725708008,-14.3747358322144,-11.2488403320313
12000,-39.857292175293,-38.2421379089356,-18.1876964569092,-23.806921005249,-31.0560779571533,-15.0724458694458,64896,-25.7129802703857,36384,-11.254734992981,-8.62736225128174,-13.3048257827759,-10.2862234115601
12096,-39.8266143798828,-38.3463821411133,-17.6573181152344,-22.7754001617432,-30.4854679107666,-14.5496530532837,64992,-25.5562400817871,37152,-8.96633434295654,-8.60536670684815,-12.5125741958618,-9.39511108398438
12192,-39.7733001708984,-38.2825622558594,-17.2934398651123,-21.8988552093506,-29.1750392913818,-14.0692081451416,66528,-23.9529075622559,37536,-9.40307140350342,-8.85808658599854,-11.8017168045044,-9.3496561050415
12288,-39.6832504272461,-38.2067260742188,-17.0708866119385,-21.4036865234375,-27.6806907653809,-13.4755201339722,66720,-23.776891708374,37728,-9.3574743270874,-8.58381080627441,-11.4882802963257,-8.89670848846436
12384,-39.5353202819824,-38.3586807250977,-17.0382022857666,-20.3188381195068,-26.2024307250977,-12.5950679779053,69312,-22.2129230499268,37920,-9.33298683166504,-8.16242218017578,-11.3458633422852,-8.18574523925781
