Wall time,Step,Value
1732931617.4820852,108576,-11.135584831237793
1732931620.1329496,108864,-11.035992622375488
1732931621.0196328,108960,-11.291082382202148
1732931621.9269056,109056,-11.001283645629883
1732931634.2692642,110400,-9.393834114074707
1732931636.8906431,110688,-8.842499732971191
1732931639.548771,110976,-9.037283897399902
1732931640.4178593,111072,-9.31984806060791
1732931641.2861376,111168,-9.291346549987793
1732931643.8959017,111456,-9.73307991027832
1732931644.775743,111552,-9.861629486083984
1732931645.6490614,111648,-9.868791580200195
1732931661.4194052,113376,-11.45967960357666
1732931663.1889577,113568,-11.469367980957031
1732931664.0524724,113664,-11.232097625732422
1732931665.835389,113856,-11.378847122192383
1732931666.7158272,113952,-11.305770874023438
1732931672.0181208,114528,-11.799921035766602
1732931672.902471,114624,-11.944968223571777
1732931674.668115,114816,-12.433774948120117
1732931676.4344091,115008,-12.874783515930176
1732931678.190721,115200,-14.02901554107666
1732931679.959287,115392,-13.810197830200195
1732931682.6247053,115680,-13.333292961120605
1732931684.4082844,115872,-13.10546875
1732931686.2264078,116064,-12.71504020690918
1732931687.9969902,116256,-12.47136116027832
1732931689.7595332,116448,-12.392589569091797
1732931691.530617,116640,-12.076455116271973
1732931700.314005,117600,-9.655282974243164
1732931703.8433883,117984,-9.405527114868164
1732931707.3437593,118368,-10.08925724029541
1732931708.20606,118464,-10.181038856506348
1732931709.0936522,118560,-10.282893180847168
1732931710.8580544,118752,-10.341299057006836
1732931713.4996636,119040,-10.469780921936035
1732931716.1336138,119328,-10.405464172363281
1732931717.8828812,119520,-10.19801139831543
1732931720.525035,119808,-10.575789451599121
1732931725.7850614,120384,-10.945176124572754
1732931727.5279527,120576,-10.74236011505127
1732931729.28341,120768,-10.685020446777344
1732931730.1611688,120864,-10.698990821838379
1732931732.8174863,121152,-10.426889419555664
1732931733.7220137,121248,-10.499822616577148
1732931734.6079645,121344,-10.381696701049805
1732931737.2421725,121632,-10.528061866760254
1732931744.2573502,122400,-11.084513664245605
1732931748.6097527,122880,-11.227584838867188
1732931750.3887594,123072,-11.237992286682129
1732931755.6502779,123648,-11.969563484191895
1732931759.163861,124032,-12.3966064453125
1732931760.065746,124128,-12.251396179199219
1732931760.9315052,124224,-12.046128273010254
1732931761.7924275,124320,-11.817520141601562
1732931767.0661564,124896,-11.075462341308594
1732931769.6682456,125184,-11.422905921936035
1732931775.8397474,125856,-10.81250286102295
1732931777.6013172,126048,-10.486552238464355
1732931780.2930677,126336,-10.23526382446289
1732931781.1812382,126432,-9.856266975402832
1732931783.8324862,126720,-10.327507019042969
1732931789.1093733,127296,-10.638151168823242
1732931790.850847,127488,-10.091806411743164
1732931793.4984868,127776,-10.409282684326172
1732931796.120621,128064,-10.369596481323242
1732931797.0090122,128160,-10.327086448669434
1732931797.8930538,128256,-10.313475608825684
1732931798.78065,128352,-10.327896118164062
1732931799.6661668,128448,-10.365374565124512
1732931804.9659534,129024,-10.610383987426758
1732931810.2546663,129600,-10.145909309387207
1732931815.4692433,130176,-10.06457805633545
1732931820.7391882,130752,-10.37881851196289
1732931825.14974,131232,-9.5584135055542
1732931828.7061353,131616,-9.70809555053711
1732931834.8169587,132288,-9.742633819580078
1732931836.557185,132480,-9.828919410705566
1732931839.2126167,132768,-9.258003234863281
1732931840.980388,132960,-9.32218074798584
1732931841.8502529,133056,-9.338926315307617
1732931844.4910445,133344,-9.69056224822998
1732931845.363521,133440,-9.76820182800293
1732931847.097238,133632,-9.893364906311035
1732931847.9724615,133728,-9.719425201416016
1732931850.584204,134016,-10.345562934875488
1732931865.551356,135648,-11.893773078918457
1732931866.42263,135744,-12.132326126098633
1732931867.3080988,135840,-12.18319320678711
1732931871.7293181,136320,-12.159599304199219
1732931874.384611,136608,-10.81987190246582
1732931877.9324114,136992,-10.568705558776855
1732931878.797943,137088,-10.574138641357422
1732931879.689589,137184,-10.605817794799805
1732931883.2561185,137568,-10.357189178466797
1732931884.1210418,137664,-10.496607780456543
1732931885.0070343,137760,-10.497456550598145
1732931886.7645211,137952,-10.459186553955078
1732931888.4880679,138144,-10.533060073852539
1732931890.2484117,138336,-10.23808765411377
1732931892.0055969,138528,-10.297422409057617
1732931899.0811574,139296,-11.424659729003906
1732931903.5032716,139776,-10.891922950744629
1732931904.3832,139872,-10.798792839050293
1732931912.343551,140736,-10.283721923828125
1732931913.2466147,140832,-10.237834930419922
1732931922.932815,141888,-9.056105613708496
1732931929.9556532,142656,-9.179350852966309
1732931930.8544776,142752,-9.135961532592773
1732931933.5128627,143040,-9.366641998291016
1732931935.27214,143232,-9.768035888671875
1732931936.1495464,143328,-9.786865234375
1732931943.1489985,144096,-10.090383529663086
1732931944.0100794,144192,-10.080113410949707
1732931944.8911834,144288,-10.082308769226074
1732931945.773832,144384,-10.12169075012207
1732931948.3801148,144672,-9.917525291442871
1732931950.1289258,144864,-9.930843353271484
1732931951.0245183,144960,-9.857187271118164
1732931951.901788,145056,-10.075827598571777
1732931958.8360023,145824,-9.729137420654297
1732931963.2284603,146304,-9.462719917297363
1732931964.118039,146400,-9.466896057128906
1732931966.7456307,146688,-9.354524612426758
1732931972.8716881,147360,-9.514126777648926
1732931974.625672,147552,-9.367901802062988
1732931983.4742048,148512,-9.456964492797852
1732931987.8811736,148992,-9.303201675415039
1732931988.7907844,149088,-9.461623191833496
1732931990.6203268,149280,-9.301153182983398
1732931991.6327047,149376,-9.313827514648438
1732932000.1387818,149952,-8.834888458251953
1732932015.2270002,150624,-8.738712310791016
1732932017.4183705,150720,-8.839242935180664
1732932036.7850356,151584,-9.55513858795166
1732932045.527563,151968,-9.667101860046387
1732932049.8181698,152160,-9.684494972229004
1732932058.5767667,152544,-10.272034645080566
1732932078.5553467,153408,-10.464902877807617
1732932082.9680896,153600,-10.369356155395508
1732932089.6135738,153888,-10.300596237182617
1732932094.237439,154080,-10.423458099365234
1732932096.4593792,154176,-10.398736000061035
1732932107.3673587,154656,-10.690549850463867
1732932113.9299402,154944,-10.156667709350586
1732932124.9704242,155424,-10.054697036743164
1732932129.4749277,155616,-9.994443893432617
1732932138.3785565,156000,-10.021037101745605
1732932142.7631524,156192,-10.000814437866211
1732932145.0447845,156288,-9.959805488586426
1732932147.2885246,156384,-9.91420841217041
1732932155.6086516,156768,-9.262284278869629
1732932166.1092882,157248,-9.135214805603027
1732932172.08661,157536,-9.206460952758789
1732932176.1126082,157728,-8.886211395263672
1732932182.4217463,158016,-8.742454528808594
1732932188.5792325,158304,-8.863664627075195
1732932193.2007601,158688,-8.70776081085205
1732932199.3640456,159360,-9.024847030639648
1732932200.2416348,159456,-8.984561920166016
1732932201.0989084,159552,-8.958373069763184
1732932207.2927692,160224,-8.760180473327637
1732932209.0554738,160416,-8.804147720336914
1732932210.8250828,160608,-8.890619277954102
1732932213.4886155,160896,-8.812141418457031
1732932214.3713174,160992,-8.879772186279297
1732932219.729742,161568,-8.826643943786621
1732932220.6241183,161664,-8.93391227722168
1732932227.6792812,162432,-9.310240745544434
1732932230.302805,162720,-9.565056800842285
1732932231.1843917,162816,-9.53044605255127
1732932232.05453,162912,-9.332621574401855
1732932232.9525495,163008,-9.423110008239746
1732932234.7410126,163200,-9.297357559204102
1732932237.3770332,163488,-10.57650375366211
1732932243.5064251,164160,-11.488289833068848
1732932244.3669581,164256,-11.216395378112793
1732932248.754979,164736,-11.489991188049316
1732932250.5030344,164928,-11.583386421203613
1732932251.381178,165024,-11.604583740234375
1732932252.25298,165120,-11.563470840454102
1732932260.216022,165984,-10.242499351501465
1732932263.7293544,166368,-9.479643821716309
1732932265.4725037,166560,-9.384468078613281
1732932266.3586445,166656,-9.379106521606445
1732932268.1123614,166848,-9.273598670959473
1732932272.549374,167328,-8.833234786987305
1732932273.4563627,167424,-8.752138137817383
1732932275.2237418,167616,-8.802742958068848
1732932276.115491,167712,-8.840757369995117
1732932276.9919188,167808,-8.912256240844727
1732932279.6174994,168096,-8.958596229553223
1732932281.3742588,168288,-9.134526252746582
1732932283.1369212,168480,-9.119243621826172
1732932291.0721562,169344,-9.629311561584473
1732932293.7121587,169632,-9.805940628051758
1732932301.7130964,170496,-10.632363319396973
1732932307.0613785,171072,-10.644094467163086
1732932307.9757812,171168,-10.568381309509277
1732932313.295725,171744,-10.23712158203125
1732932314.1914408,171840,-10.159976959228516
1732932315.074673,171936,-10.313559532165527
1732932316.836289,172128,-10.126108169555664
1732932322.1859353,172704,-9.313467025756836
1732932327.5093846,173280,-9.27407455444336
1732932328.4121764,173376,-9.234874725341797
1732932335.5053911,174144,-9.78133487701416
1732932336.3833716,174240,-9.808358192443848
1732932338.9989989,174528,-9.723248481750488
1732932341.612298,174816,-9.676085472106934
1732932345.1534886,175200,-9.523913383483887
1732932346.9085906,175392,-9.41413688659668
1732932350.5596519,175776,-9.743439674377441
1732932357.4066794,176352,-9.380616188049316
1732932366.335426,176736,-8.9791259765625
1732932368.555622,176832,-8.821049690246582
1732932375.2383363,177120,-9.342137336730957
1732932386.0701332,177600,-9.633095741271973
1732932394.699864,177984,-9.654335021972656
1732932398.6881669,178176,-9.63588809967041
1732932402.7564616,178368,-9.57806396484375
1732932404.7669404,178464,-9.596675872802734
1732932406.823792,178560,-9.651200294494629
1732932421.7485473,179232,-9.944913864135742
1732932426.1400776,179424,-9.729782104492188
1732932428.2337239,179520,-9.261090278625488
1732932441.7983236,180096,-8.957412719726562
1732932444.014005,180192,-8.986428260803223
1732932446.1879356,180288,-8.820952415466309
1732932450.4575274,180480,-8.753049850463867
1732932454.8846703,180672,-8.749140739440918
1732932480.7489989,181824,-9.168184280395508
1732932499.7938447,182688,-9.12217903137207
1732932508.3341737,183072,-9.123446464538574
1732932519.4320927,183552,-9.512907981872559
1732932521.4990911,183648,-9.431873321533203
1732932532.3860555,184128,-9.089590072631836
1732932534.4954236,184224,-9.094843864440918
1732932536.6850898,184320,-9.38525390625
1732932545.4076626,184704,-9.17143440246582
1732932547.5814655,184800,-9.322625160217285
1732932560.7074833,185376,-9.204097747802734
1732932569.6096716,185760,-8.863874435424805
1732932571.854843,185856,-8.944872856140137
1732932574.0835683,185952,-8.954736709594727
1732932578.6543484,186144,-8.883944511413574
1732932580.8749168,186240,-8.950873374938965
1732932592.0040226,186720,-8.65178394317627
1732932598.7549415,187008,-8.975836753845215
1732932603.2445753,187200,-8.800740242004395
1732932609.8985188,187488,-8.930046081542969
1732932616.4786372,187776,-9.110382080078125
1732932622.960267,188064,-9.016132354736328
